date,municipality,metric,cases
2020-05-05,Greenburgh,total,1089
2020-05-05,Greenburgh,active,183
2020-05-05,Greenburgh,new,19
2020-05-05,Harrison,total,384
2020-05-05,Harrison,active,64
2020-05-05,Harrison,new,12
2020-05-05,Hastings-on-Hudson,total,121
2020-05-05,Hastings-on-Hudson,active,12
2020-05-05,Hastings-on-Hudson,new,1
2020-05-05,Irvington,total,84
2020-05-05,Irvington,active,17
2020-05-05,Irvington,new,0
2020-05-05,Larchmont,total,67
2020-05-05,Larchmont,active,8
2020-05-05,Larchmont,new,1
2020-05-05,Lewisboro,total,101
2020-05-05,Lewisboro,active,25
2020-05-05,Lewisboro,new,1
2020-05-05,Mamaroneck Town,total,175
2020-05-05,Mamaroneck Town,active,32
2020-05-05,Mamaroneck Town,new,6
2020-05-05,Mamaroneck Village,total,359
2020-05-05,Mamaroneck Village,active,77
2020-05-05,Mamaroneck Village,new,9
2020-05-05,Mount Kisco,total,264
2020-05-05,Mount Kisco,active,71
2020-05-05,Mount Kisco,new,4
2020-05-05,Mount Pleasant,total,577
2020-05-05,Mount Pleasant,active,96
2020-05-05,Mount Pleasant,new,7
2020-05-05,Mount Vernon,total,2467
2020-05-05,Mount Vernon,active,377
2020-05-05,Mount Vernon,new,24
2020-05-05,New Castle,total,216
2020-05-05,New Castle,active,73
2020-05-05,New Castle,new,8
2020-05-05,New Rochelle,total,2714
2020-05-05,New Rochelle,active,450
2020-05-05,New Rochelle,new,18
2020-05-05,North Castle,total,202
2020-05-05,North Castle,active,59
2020-05-05,North Castle,new,8
2020-05-05,North Salem,total,123
2020-05-05,North Salem,active,43
2020-05-05,North Salem,new,3
2020-05-05,Ossining Town,total,147
2020-05-05,Ossining Town,active,33
2020-05-05,Ossining Town,new,5
2020-05-05,Ossining Village,total,954
2020-05-05,Ossining Village,active,158
2020-05-05,Ossining Village,new,21
2020-05-05,Peekskill,total,764
2020-05-05,Peekskill,active,188
2020-05-05,Peekskill,new,13
2020-05-05,Pelham,total,170
2020-05-05,Pelham,active,19
2020-05-05,Pelham,new,4
2020-05-05,Pelham Manor,total,117
2020-05-05,Pelham Manor,active,17
