date,metric,value
2020-10-02,total_deaths,1456
2020-10-02,new_cases,46
2020-10-02,new_deaths,0
2020-10-03,total_cases,38430
2020-10-03,total_deaths,1456
2020-10-03,new_cases,85
2020-10-03,new_deaths,0
2020-10-04,total_cases,38474
2020-10-04,total_deaths,1457
2020-10-04,new_cases,44
2020-10-04,new_deaths,1
2020-10-05,total_cases,38514
2020-10-05,total_deaths,1457
2020-10-05,new_cases,40
2020-10-05,new_deaths,0
2020-10-06,total_cases,38566
2020-10-06,total_deaths,1457
2020-10-06,new_cases,52
2020-10-06,new_deaths,0
2020-10-07,total_cases,38627
2020-10-07,total_deaths,1458
2020-10-07,new_cases,61
2020-10-07,new_deaths,1
2020-10-08,total_cases,38693
2020-10-08,total_deaths,1459
2020-10-08,new_cases,66
2020-10-08,new_deaths,1
2020-10-09,total_cases,38770
2020-10-09,total_deaths,1460
2020-10-09,new_cases,77
2020-10-09,new_deaths,1
2020-10-10,total_cases,38846
2020-10-10,total_deaths,1461
2020-10-10,new_cases,76
2020-10-10,new_deaths,1
2020-10-11,total_cases,38893
2020-10-11,total_deaths,1461
2020-10-11,new_cases,47
2020-10-11,new_deaths,0
2020-10-12,total_cases,39000
2020-10-12,total_deaths,1462
2020-10-12,new_cases,107
2020-10-12,new_deaths,1
2020-10-13,total_cases,39063
2020-10-13,total_deaths,1462
2020-10-13,new_cases,63
2020-10-13,new_deaths,0
2020-10-14,total_cases,39117
2020-10-14,total_deaths,1462
2020-10-14,new_cases,54
2020-10-14,new_deaths,0
2020-10-15,total_cases,39199
2020-10-15,total_deaths,1463
2020-10-15,new_cases,82
2020-10-15,new_deaths,1
2020-10-16,total_cases,39287
2020-10-16,total_deaths,1465
2020-10-16,new_cases,88
2020-10-16,new_deaths,2
2020-10-17,total_cases,39397
2020-10-17,total_deaths,1466
2020-10-17,new_cases,110
2020-10-17,new_deaths,1
2020-10-18,total_cases,39475
2020-10-18,total_deaths,1467
2020-10-18,new_cases,78
2020-10-18,new_deaths,1
2020-10-19,total_cases,39547
2020-10-19,total_deaths,1469
2020-10-19,new_cases,72
2020-10-19,new_deaths,2
2020-10-20,total_cases,39615
2020-10-20,total_deaths,1469
2020-10-20,new_cases,68
2020-10-20,new_deaths,0
2020-10-21,total_cases,39693
2020-10-21,total_deaths,1470
2020-10-21,new_cases,78
2020-10-21,new_deaths,1
2020-10-22,total_cases,39788
2020-10-22,total_deaths,1470
2020-10-22,new_cases,95
2020-10-22,new_deaths,0
2020-10-23,total_cases,39889
2020-10-23,total_deaths,1470
