date,municipality,total_cases,active_cases,new_cases
2020-05-18,Dobbs Ferry,293,39,0
2020-05-18,Eastchester,441,27,0
2020-05-18,Elmsford,195,23,0
2020-05-18,Greenburgh,1091,58,1
2020-05-18,Harrison,384,26,1
2020-05-18,Hastings-on-Hudson,112,2,0
2020-05-18,Irvington,77,1,0
2020-05-18,Larchmont,64,3,0
2020-05-18,Lewisboro,95,10,0
2020-05-18,Mamaroneck Town,166,6,0
2020-05-18,Mamaroneck Village,376,21,2
2020-05-18,Mount Kisco,266,36,4
2020-05-18,Mount Pleasant,547,19,2
2020-05-18,Mount Vernon,2591,152,5
2020-05-18,New Castle,174,9,3
2020-05-18,New Rochelle,2832,177,8
2020-05-18,North Castle,190,7,0
2020-05-18,North Salem,118,14,0
2020-05-18,Ossining Town,147,8,1
2020-05-18,Ossining Village,1002,73,2
2020-05-18,Peekskill,861,120,8
2020-05-18,Pelham,162,5,0
2020-05-18,Pelham Manor,102,1,0
2020-05-18,Pleasantville,114,7,1
2020-05-18,Port Chester,1163,130,2
2020-05-18,Pound Ridge,26,1,0
2020-05-18,Rye Brook,174,13,1
2020-05-18,Rye City,186,9,1
2020-05-18,Scarsdale,348,5,0
2020-05-18,Sleepy Hollow,362,29,0
2020-05-18,Somers,263,54,30
2020-05-18,Tarrytown,269,14,1
2020-05-18,Tuckahoe,128,2,0
2020-05-18,White Plains,1711,120,6
2020-05-18,Yonkers,6659,362,7
2020-05-18,Yorktown,583,35,2
2020-05-18,Totals,25693,1717,91
2020-05-19,Ardsley,91,7,1
2020-05-19,Bedford,232,14,0
2020-05-19,Briarcliff Manor,90,8,2
2020-05-19,Bronxville,62,0,0
2020-05-19,Buchanan,34,2,0
2020-05-19,Cortlandt,764,63,12
2020-05-19,Croton-on-Hudson,165,10,2
2020-05-19,Dobbs Ferry,293,36,0
2020-05-19,Eastchester,443,23,2
2020-05-19,Elmsford,196,21,1
2020-05-19,Greenburgh,1094,46,3
2020-05-19,Harrison,385,27,1
2020-05-19,Hastings-on-Hudson,114,4,2
2020-05-19,Irvington,78,2,1
2020-05-19,Larchmont,64,3,0
2020-05-19,Lewisboro,95,3,0
2020-05-19,Mamaroneck Town,166,6,0
2020-05-19,Mamaroneck Village,376,18,0
2020-05-19,Mount Kisco,271,35,5
2020-05-19,Mount Pleasant,552,21,5
2020-05-19,Mount Vernon,2606,142,15
2020-05-19,New Castle,174,9,0
2020-05-19,New Rochelle,2844,175,12
2020-05-19,North Castle,192,8,2
2020-05-19,North Salem,118,14,0
2020-05-19,Ossining Town,148,7,1
2020-05-19,Ossining Village,1013,66,11
2020-05-19,Peekskill,869,108,8
2020-05-19,Pelham,162,4,0
2020-05-19,Pelham Manor,102,1,0
2020-05-19,Pleasantville,115,8,1
2020-05-19,Port Chester,1169,121,6
2020-05-19,Pound Ridge,26,1,0
2020-05-19,Rye Brook,175,12,1
2020-05-19,Rye City,196,18,10
2020-05-19,Scarsdale,350,5,2
2020-05-19,Sleepy Hollow,366,32,4
2020-05-19,Somers,265,54,2
2020-05-19,Tarrytown,269,11,0
2020-05-19,Tuckahoe,128,2,0
2020-05-19,White Plains,1720,107,9
2020-05-19,Yonkers,6692,338,33
2020-05-19,Yorktown,588,37,5
2020-05-19,Totals,25852,1629,159
2020-05-20,Ardsley,91,6,0
2020-05-20,Bedford,234,13,2
2020-05-20,Briarcliff Manor,91,6,1
2020-05-20,Bronxville,62,0,0
2020-05-20,Buchanan,34,2,0
2020-05-20,Cortlandt,770,56,6
2020-05-20,Croton-on-Hudson,167,11,2
2020-05-20,Dobbs Ferry,293,35,0
2020-05-20,Eastchester,443,22,0
2020-05-20,Elmsford,196,19,0
2020-05-20,Greenburgh,1094,35,0
2020-05-20,Harrison,385,25,0
2020-05-20,Hastings-on-Hudson,114,4,0
2020-05-20,Irvington,78,2,0
2020-05-20,Larchmont,64,3,0
2020-05-20,Lewisboro,95,2,0
2020-05-20,Mamaroneck Town,166,3,0
2020-05-20,Mamaroneck Village,378,18,2
2020-05-20,Mount Kisco,271,29,0
2020-05-20,Mount Pleasant,553,21,1
2020-05-20,Mount Vernon,2611,124,5
2020-05-20,New Castle,174,9,0
2020-05-20,New Rochelle,2852,161,8
2020-05-20,North Castle,192,5,0
2020-05-20,North Salem,121,8,3
2020-05-20,Ossining Town,149,5,1
2020-05-20,Ossining Village,1017,56,4
2020-05-20,Peekskill,883,105,14
2020-05-20,Pelham,162,3,0
2020-05-20,Pelham Manor,102,1,0
2020-05-20,Pleasantville,115,8,0
2020-05-20,Port Chester,1170,101,1
2020-05-20,Pound Ridge,26,0,0
2020-05-20,Rye Brook,176,13,1
2020-05-20,Rye City,198,19,2
2020-05-20,Scarsdale,350,5,0
2020-05-20,Sleepy Hollow,366,28,0
2020-05-20,Somers,298,81,33
2020-05-20,Tarrytown,270,11,1
2020-05-20,Tuckahoe,128,2,0
2020-05-20,White Plains,1723,95,3
2020-05-20,Yonkers,6705,302,13
2020-05-20,Yorktown,600,46,12
2020-05-20,Totals,25967,1500,115
2020-05-21,Ardsley,92,7,4
2020-05-21,Bedford,232,11,0
2020-05-21,Briarcliff Manor,92,6,2
2020-05-21,Bronxville,62,0,0
2020-05-21,Buchanan,33,1,0
2020-05-21,Cortlandt,762,47,0
2020-05-21,Croton-on-Hudson,166,10,0
2020-05-21,Dobbs Ferry,293,35,0
